eventID,bn_wt,zns_wt,x_um,y_um,depth_um,alpha_len_um,li7_len_um,edep_keV
264,50,50,7629.32,5831.92,29.7305,4.16372,2.11536,2312.91
265,50,50,7937.06,767.354,41.2243,4.16494,1.4177,2315.27
266,50,50,-8451.71,-1820.33,16.3371,4.16384,2.18984,2312.66
267,50,50,8461.46,-8431.35,45.2081,4.16364,2.27524,2312.91
268,50,50,4093.84,-2837.91,53.6311,4.16275,1.41452,2312.9
269,50,50,-954.889,7843.32,69.2475,4.16308,2.11221,2312.9
270,50,50,-5235.07,-6338.79,81.4823,4.16353,2.01966,2317.2
271,50,50,1776.15,-8384.96,86.5401,4.16369,1.41443,2312.91
272,50,50,8477.05,6460.18,176.197,4.16313,2.15484,2413.45
273,50,50,4292.97,-6722.28,6.73821,4.16291,1.77586,2318.38
274,50,50,7108.57,-8927.54,27.9895,4.16437,1.41878,2318.16
275,50,50,4275.68,4506.31,18.4237,4.16393,2.08042,2316.22
276,50,50,1803.8,-1798.56,69.0118,4.1632,1.83289,2311.61
277,50,50,-698.533,-3215.24,79.3416,4.16334,2.04501,2311.22
278,50,50,-1102.64,-697.123,34.7948,4.16378,2.05793,2313.9
279,50,50,-2766.68,-5427.17,41.5342,4.16433,2.0427,2315.88
280,50,50,-702.495,-3637.21,47.2934,4.16424,1.76598,2312.91
281,50,50,-4674.92,7239.32,124.612,4.16423,2.06347,2389.02
282,50,50,-7454.4,7699.22,66.1656,4.16375,2.10531,2312.31
283,50,50,7086.94,-5675.81,13.3281,4.16352,1.94103,2311.74
284,50,50,-9606.91,-1544.07,27.6806,4.16323,2.02255,2318.08
285,50,50,1150.1,7210.85,12.0027,4.16391,1.93774,2312.9
286,50,50,-8498.05,-1084.77,29.1564,4.16379,1.41817,2439.03
287,50,50,4613.92,3227.68,9.851,4.16419,1.4155,2312.91
288,50,50,-4348.08,91.3345,82.2716,4.16382,2.01358,2312.91
289,50,50,6914.4,4727.75,15.3894,4.16314,1.65395,2319.07
290,50,50,8740.46,-118.765,65.0723,4.16339,1.41747,2478.64
291,50,50,5438.8,8872.19,82.7957,4.16263,1.4187,2317.27
292,50,50,8250.48,854.944,31.1535,4.99747,2.91206,2790.12
293,50,50,-6758.92,8457.28,228.417,4.1644,1.66698,2492.21
294,50,50,9155.11,8579.28,298.495,4.16348,2.34221,2481.01
295,50,50,1099.55,775.654,228.093,4.16326,2.03964,2370.98
296,50,50,-3525.05,8982.74,11.1902,4.16308,1.41698,2312.48
297,50,50,-5700.43,-2591.74,77.5065,4.16394,2.19217,2343.74
298,50,50,-5689.84,-9134.75,70.3394,4.16357,2.11988,2315.13
299,50,50,-6765.99,-5393.6,16.8466,4.16392,1.41904,2318.74
300,50,50,-5964.34,2120.07,5.39814,4.16322,2.03426,2790.51
301,50,50,8546.92,1318.91,0.154005,0.178217,1.41896,913.451
302,50,50,-5091.88,1773.57,5.97823,4.16402,2.41074,2316.45
303,50,50,-8148.58,-1891.29,2.53075,4.16332,1.41827,2316.3
304,50,50,4270.26,3973.44,8.15097,4.16339,2.30143,2312.91
305,50,50,-1826.91,-2909.34,31.0255,4.16343,1.41778,2314.92
306,50,50,-8381,2715.97,61.9082,4.16382,1.41487,2312.91
307,50,50,-5030.37,-7111.47,130.425,4.16434,2.25461,2465.91
308,50,50,-4852.96,1810.06,16.2154,4.16411,1.41823,2316.49
309,50,50,9299.64,7936.93,253.877,4.16398,2.08031,2318.48
310,50,50,-7606.05,9414.82,56.8636,4.16365,1.41825,2316.35
311,50,50,-9093.75,-6202.7,258.434,4.16367,1.41424,2312.91
312,50,50,-5040.39,3765.87,16.9606,4.16351,1.4166,2697.5
313,50,50,-8166.88,-1491.91,2.27255,4.16383,2.32055,2317.77
314,50,50,-9942.32,-7198.81,10.1212,4.16292,1.85124,2657.58
315,50,50,-7540.6,-619.206,8.73901,4.16354,1.60413,2319.8
