runID,eventID,thickness_um,edep_keV,light_yield_photons,has_capture,bn_wt,zns_wt,source_x_um,source_y_um,capture_x_um,capture_y_um,depth_um
0,2279,100,2312.91,115645,1,50,50,5512.54,-5270.2,5512.54,-5270.2,77.8025
0,2281,100,2315.46,115773,1,50,50,-2229.6,1805.01,-2229.6,1805.01,35.182
0,2282,100,2317.63,115881,1,50,50,7256.09,1923.47,7256.09,1923.47,34.1002
0,2283,100,2313.4,115670,1,50,50,6249.86,3938.53,6249.86,3938.53,75.218
0,2284,100,2312.91,115645,1,50,50,-5930.6,-2028.52,-5930.6,-2028.52,67.3845
0,2286,100,2312.9,115645,1,50,50,6232.39,-5135.65,6232.39,-5135.65,88.9083
0,2287,100,2313.25,115663,1,50,50,-4610.66,-5283.3,-4610.66,-5283.3,54.8042
0,2289,100,2311.22,115561,1,50,50,-4361.49,-1481.11,-4361.49,-1481.11,61.1529
0,2290,100,2315.15,115758,1,50,50,-8747.58,-9663.09,-8747.58,-9663.09,6.10563
0,2291,100,2312.91,115645,1,50,50,-2477.2,-3858.29,-2477.2,-3858.29,25.4248
0,2292,100,2312.91,115645,1,50,50,217.824,6182.05,217.824,6182.05,10.1774
0,2295,100,2312.91,115645,1,50,50,-9236.05,-4516.52,-9236.05,-4516.52,79.8016
0,2297,100,2312.9,115645,1,50,50,5879.86,-5508.65,5879.86,-5508.65,42.3709
0,2298,100,2311.01,115551,1,50,50,9291.37,1060.9,9291.37,1060.9,17.3688
0,2299,100,2316.51,115825,1,50,50,-1053.88,6288.19,-1053.88,6288.19,18.5401
0,2300,100,2318.03,115901,1,50,50,7716.13,-5033.86,7716.13,-5033.86,58.3251
0,2301,100,2314.99,115750,1,50,50,78.0343,4023.92,78.0343,4023.92,29.4683
0,2302,100,2790.12,139506,1,50,50,3402.03,-51.0108,3402.03,-51.0108,79.7012
0,2303,100,2312.91,115645,1,50,50,2500.78,2519.82,2500.78,2519.82,51.2174
0,2304,100,2315.42,115771,1,50,50,2863.17,-8545.19,2863.17,-8545.19,17.0354
0,2305,100,2312.91,115645,1,50,50,8054.73,-7929.67,8054.73,-7929.67,5.47675
0,2306,100,2315.57,115778,1,50,50,-2450.2,7159.86,-2450.2,7159.86,72.867
0,2307,100,2314.76,115738,1,50,50,2093.91,8717.97,2093.91,8717.97,59.4664
