runID,eventID,trackID,stepID,particle,bn_wt,zns_wt,thickness_um,capture_x_um,capture_y_um,capture_z_um,capture_depth_um,x_mid_um,y_mid_um,z_mid_um,depth_mid_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,2872,4,1,Li7,50,50,100,-3191.86,-8879.88,23.4297,26.5703,-3192.16,-8880.5,23.2496,26.7504,1.4322,793.935,842.312,48.3767
0,2872,4,2,Li7,50,50,100,-3191.86,-8879.88,23.4297,26.5703,-3192.5,-8881.31,23.0434,26.9566,0.58986,48.3767,48.3767,0
0,2872,2,1,alpha,50,50,100,-3191.86,-8879.88,23.4297,26.5703,-3190.99,-8878.03,23.9661,26.0339,4.25065,1472.56,1472.56,0
0,2873,4,1,Li7,50,50,100,7159.05,-7557.72,-16.7649,66.7649,7158.7,-7558.18,-17.177,67.177,1.42944,804.238,834.275,30.037
0,2873,4,2,Li7,50,50,100,7159.05,-7557.72,-16.7649,66.7649,7158.31,-7558.72,-17.6634,67.6634,0.464793,30.037,30.037,0
0,2873,2,1,alpha,50,50,100,7159.05,-7557.72,-16.7649,66.7649,7160.1,-7556.34,-15.5422,65.5422,4.25123,1472.78,1472.78,0
0,2876,4,1,Li7,50,50,100,7931.66,-8224.29,-32.5981,82.5981,7931.02,-8224.07,-32.8024,82.8024,1.43074,838.059,838.059,0
0,2876,2,1,alpha,50,50,100,7931.66,-8224.29,-32.5981,82.5981,7933.59,-8224.93,-31.995,81.995,4.24961,1472.17,1472.17,0
0,2877,4,1,Li7,50,50,100,-6137.1,-1124.08,28.33,21.67,-6136.8,-1123.48,28.1001,21.8999,1.43001,810.372,835.952,25.5807
0,2877,4,2,Li7,50,50,100,-6137.1,-1124.08,28.33,21.67,-6136.43,-1122.82,27.8357,22.1643,0.428931,25.5807,25.5807,0
0,2877,2,1,alpha,50,50,100,-6137.1,-1124.08,28.33,21.67,-6138.02,-1125.86,29.0212,20.9788,4.25014,1472.37,1472.37,0
